title;inclass;homework;tags
Modul 1;Begriffe Intervall, Oktave, Tonraum, Konsonanz, Dissonanz, Komplementär-intervalle, Inklusivzählung;Intervalle von bestimmten Tönen aufbauen;
;;Am Klavier spielen;
;;;
Modul 2;1. Wiederholung der Grundbegriffe aus dem Modul 1;Intervalle bezeichnen;
;2. Quantitativer und qualitativer Abstand (groß, rein, klein, verm, Überm.), Tritonus;Spielen und überprüfen;
;3. Grobbestimmung und Feinbestimmung;Intervalle von bestimmten Tönen aufbauen;
;4. Liedanfänge als Merkhilfe;Liedanfänge - Liste vollständig?;
Modul 3;Oktaven in der Graphik bezeichnen;Hans-Peter Braun: Musiklehre (s. 310-316 lesen);
;Graphik zu Alteration;;
;Hans-Peter Braun: Musiklehre;;
;;;
Modul 4;Begriffe aus dem Skript: Obertonreihe, Vorzeichen, Notenwerte, Pausenwerte;Finde Notationsfehler;
;Obertonreihe von „d“;Notiere Töne in. Baß- und Violinschlüssel;
;Doppelerhöhung und Doppelerniedrigung;Notiere die Intervalle aufwärts und abwärts;
;Intervallreihe;;
Modul 5;Hausaufgabe gemeinsam anschauen;;
;Intervalle - Wiederholung;;
;Intervalle - bis gr10;;
;Intervallreihe modal-tonal;;
;Arten der Molltonleiter;;
Modul 6;Intervalle hören und mit der Bezeichnung sowie mit der Notenschrift notieren;;
;Tempobezeichnungen schnell -> langsam anordnen (Ausdrucken);;
;Intervalle aufwärts und abwärts aufbauen;;
;Einstimmiger Diktat - Einstieg (Gott, dein Segen geht mit uns, aus Kinder-Kirchen-Hits) oder alternativ eg 311;;
Modul 7;Intervalle hören und mit der Bezeichnung und in Notenschrift notieren;;
;Intervalle aufwärts und abwärts aufbauen;;
;Korrigiere Fehler im Rhytmusdiktat;;
;Erkenne die Intervalle und ordne sie ind der richtigen Reihenfolge;;
Modul 8;Dreistimmige Akkorde I;Siehe Unterricht;
;Einleitung in Dreistimmige Akkorde (Dreiklang, Sextakkord, Quartsextakkord);Skript-Lösung = HA-Lösung;
;Tabelle Bezeichnung Funktionstheorie, GB und Akkordbezeichnung;;
;Aufgabe: Akkorde aufbauen und Tonarten notieren;;
Modul 9;Dreistimmige Akkorde II ;;
;Moll und Umkehrungen (hören und erkennen);;
;Dur und Umkehrungen (hören und erkennen);;
;Verminderter Dreiklang (+Auflösung);;
;Übermäßiger Dreiklang (+Auflösung);;
;Quartvorhalt = Quartseptklang;;
Modul 10;Notation in 6/8, Struktur 3+3 Achtel, mögliche Rhythmen;;
;Einstimmiger Diktat 6/8;;
;Kurze Wiederholg der dreistimmiger Akkorde;;
;Akkorde mit einer Veränderung, einzeln;;
;Akkorde mit einer Veränderung, ganze Reihe;;
11;;;
12;;;
13;;;
14;;;
15;;;
16;;;
17;;;
18;;;
19;;;
20;;;
21;;;
22;;;
23;;;
24;;;
25;;;
26;;;
27;;;
28;;;
29;;;
30;;;
31;;;
32;;;
33;;;
34;;;
35;;;
36;;;
37;;;
38;;;
39;;;
40;;;
